program,university
Computing – English-Language Bridging Pathway (QBridge),Queen's University
Concurrent Education/Arts,Queen's University
"Concurrent Education/Arts – Bader International Study Centre, Herstmonceux Castle (first-year program in England)",Queen's University
Concurrent Education/Fine Art,Queen's University
Concurrent Education/Music,Queen's University
Concurrent Education/Science,Queen's University
Engineering and Applied Science,Queen's University
Engineering and Applied Science – Direct Entry to Electrical and Computer Engineering,Queen's University
Engineering and Applied Science – English-Language Bridging Pathway (QBridge),Queen's University
Fine Art (Visual Art),Queen's University
Health Sciences,Queen's University
Kinesiology,Queen's University
Music,Queen's University
Music Theatre,Queen's University
Nursing,Queen's University
Science,Queen's University
"Science – Bader International Study Centre, Herstmonceux Castle (first-year program in England)",Queen's University
Science – English Language Bridging Pathway (QBridge),Queen's University
Engineering,Royal Military College of Canada
Science,Royal Military College of Canada
Social Sciences and the Humanities,Royal Military College of Canada
Accounting & Finance,Ryerson University
Aerospace Engineering,Ryerson University
Architectural Science,Ryerson University
Arts and Contemporary Studies (Honours),Ryerson University
Biology (Honours),Ryerson University
Biomedical Engineering,Ryerson University
Biomedical Sciences (Honours),Ryerson University
Business Management,Ryerson University
Business Technology Management,Ryerson University
Business Technology Management (part-time),Ryerson University
Chemical Engineering (Co-op),Ryerson University
Chemistry (Honours),Ryerson University
Child and Youth Care,Ryerson University
Civil Engineering,Ryerson University
Computer Engineering,Ryerson University
Computer Science (Honours),Ryerson University
Computer Science (Honours) (part-time: first-year entry),Ryerson University
Creative Industries,Ryerson University
Criminology (Honours),Ryerson University
Early Childhood Studies,Ryerson University
Electrical Engineering,Ryerson University
"Engineering, Undeclared (first semester studies only)",Ryerson University
English (Honours),Ryerson University
Environment and Urban Sustainability (Honours),Ryerson University
Fashion Communication,Ryerson University
Fashion Design,Ryerson University
Financial Mathematics (Honours),Ryerson University
Geographic Analysis,Ryerson University
Graphic Communications Management,Ryerson University
History (Honours),Ryerson University
Hospitality and Tourism Management (Honours),Ryerson University
Image Arts: Film Studies,Ryerson University
Image Arts: Photography Studies,Ryerson University
Industrial Engineering,Ryerson University
Interior Design,Ryerson University
International Economics and Finance,Ryerson University
Journalism,Ryerson University
Language and Intercultural Relations (Honours),Ryerson University
Mathematics and its Applications,Ryerson University
Mechanical Engineering,Ryerson University
Medical Physics (Honours),Ryerson University
Midwifery (full-time),Ryerson University
Midwifery (part-time),Ryerson University
Nursing at Centennial College,Ryerson University
Nursing at George Brown College,Ryerson University
Nursing at Ryerson,Ryerson University
Nutrition and Food,Ryerson University
Occupational Health and Safety,Ryerson University
Performance: Acting,Ryerson University
Performance: Dance,Ryerson University
Performance: Production,Ryerson University
Philosophy (Honours),Ryerson University
Politics and Governance (Honours),Ryerson University
Professional Communication (Honours),Ryerson University
Psychology,Ryerson University
Public Administration and Governance (Honours) (part-time only),Ryerson University
Public Health,Ryerson University
Retail Management,Ryerson University
RTA School of Media: Media Production,Ryerson University
RTA School of Media: New Media,Ryerson University
RTA School of Media: Sport Media,Ryerson University
Ryerson ESL Foundation Program,Ryerson University
Social Work,Ryerson University
Sociology,Ryerson University
Undeclared Arts (first-year studies only),Ryerson University
Undeclared Science (first-year studies only),Ryerson University
Urban and Regional Planning,Ryerson University
Chemical and Physical Sciences,University of Toronto – Mississauga
"Commerce (including Accounting, Economics, Finance, Marketing)",University of Toronto – Mississauga
"Communication, Culture, Information & Technology (Some joint programs with Sheridan College and U of T's Faculty of Information)",University of Toronto – Mississauga
"Computer Science, Mathematics and Statistics",University of Toronto – Mississauga
Forensic Science,University of Toronto – Mississauga
Humanities,University of Toronto – Mississauga
Life Sciences,University of Toronto – Mississauga
Management,University of Toronto – Mississauga
Psychology,University of Toronto – Mississauga
Social Sciences,University of Toronto – Mississauga
Theatre and Drama (Joint program with Sheridan College),University of Toronto – Mississauga
Visual Studies,University of Toronto – Mississauga
"Computer Science, Mathematics & Statistics",University of Toronto – Scarborough
Co-op Arts: Social Sciences & Humanities,University of Toronto – Scarborough
"Co-op Computer Science, Mathematics & Statistics",University of Toronto – Scarborough
Co-op French,University of Toronto – Scarborough
Co-op International Development Studies (BA or BSc),University of Toronto – Scarborough
Co-op Life Sciences,University of Toronto – Scarborough
Co-op Management (including Economics),University of Toronto – Scarborough
Co-op Physical & Environmental Sciences,University of Toronto – Scarborough
Co-op Psychological & Health Sciences,University of Toronto – Scarborough
Double Degree: Co-op Management & Finance (BBA) and Statistics – Quantitative Finance (BSc),University of Toronto – Scarborough
Double Degree: Management & Finance (BBA) and Statistics – Quantitative Finance (BSc),University of Toronto – Scarborough
French,University of Toronto – Scarborough
Journalism (Joint Program with Centennial College),University of Toronto – Scarborough
Life Sciences,University of Toronto – Scarborough
Management (including Economics),University of Toronto – Scarborough
Management & International Business (Co-op only),University of Toronto – Scarborough
Paramedicine (Joint Program with Centennial College),University of Toronto – Scarborough
Physical & Environmental Sciences,University of Toronto – Scarborough
Psychological & Health Sciences,University of Toronto – Scarborough
Social Sciences & Humanities,University of Toronto – Scarborough
"Visual & Performing Arts, Arts Management and Media",University of Toronto – Scarborough
Architectural Studies,University of Toronto – St. George Campus
Chemical Engineering,University of Toronto – St. George Campus
Civil Engineering,University of Toronto – St. George Campus
Computer Engineering,University of Toronto – St. George Campus
Computer Science,University of Toronto – St. George Campus
Electrical Engineering,University of Toronto – St. George Campus
Engineering Science,University of Toronto – St. George Campus
Humanities,University of Toronto – St. George Campus
Industrial Engineering,University of Toronto – St. George Campus
International Foundation Program – Applied Science and Engineering,University of Toronto – St. George Campus
"International Foundation Program – Architecture, Landscape and Design",University of Toronto – St. George Campus
International Foundation Program – Arts and Science,University of Toronto – St. George Campus
International Foundation Program – Music,University of Toronto – St. George Campus
Kinesiology and Physical Education,University of Toronto – St. George Campus
Life Sciences (including Psychology),University of Toronto – St. George Campus
Materials Engineering,University of Toronto – St. George Campus
Mechanical Engineering,University of Toronto – St. George Campus
Mineral Engineering,University of Toronto – St. George Campus
Music,University of Toronto – St. George Campus
Music – Artist Diploma,University of Toronto – St. George Campus
Music Education,University of Toronto – St. George Campus
Music Performance,University of Toronto – St. George Campus
Physical and Mathematical Sciences,University of Toronto – St. George Campus
Rotman Commerce,University of Toronto – St. George Campus
Social Sciences,University of Toronto – St. George Campus
"TrackOne, Undeclared Engineering",University of Toronto – St. George Campus
Visual Studies,University of Toronto – St. George Campus
African Studies (International Development Studies BA) Specialization,Trent University
Ancient Greek and Roman Studies,Trent University
Ancient Greek and Roman Studies and Business,Trent University
Anthropology (BA),Trent University
Anthropology (BSc),Trent University
Archaeology (BA),Trent University
Archaeology (BSc),Trent University
Bachelor of Arts & Science,Trent University
Biochemistry and Molecular Biology,Trent University
Biology,Trent University
Biomedical Science,Trent University
Business Administration – Accounting,Trent University
Business Administration – Entrepreneurship,Trent University
Business Administration – Ethics & Sustainability,Trent University
Business Administration – Finance,Trent University
Business Administration – Human Resources Management,Trent University
Business Administration – Legal Studies Option,Trent University
Business Administration – Niigaaniiwin – The Art of Leading,Trent University
Business Administration (Honours),Trent University
Business Adminsitration – Economics,Trent University
Business Adminstration – Information Systems & E-Commerce,Trent University
Business Adminstration – Marketing & Consumer Culture,Trent University
Business and Arts,Trent University
Business and Science,Trent University
Canadian Studies,Trent University
Canadian Studies and Business,Trent University
Chemical Engineering: Trent/Swansea Dual Degree,Trent University
Chemical Physics,Trent University
Chemistry,Trent University
Circumpolar Studies Diploma,Trent University
Computing & Information Systems – Data Analytics,Trent University
Computing & Information Systems – Software Engineering,Trent University
Computing Systems – Co-op,Trent University
Computing Systems and Business,Trent University
Computing Systems and Economics,Trent University
Computing Systems and Media Studies,Trent University
Computing Systems and Physics,Trent University
Computing Systems (BSc),Trent University
Computing Systems - Computer Science,Trent University
Computing Systems & Forensics,Trent University
Conservation Biology,Trent University
Conservation Biology – Co-op,Trent University
Criminology & Socio-Legal Studies (Sociology BA) Specialization,Trent University
Cultural Studies,Trent University
Cultural Studies – Integrated Arts Specialization,Trent University
Cultural Studies and Business,Trent University
Culture & Theory (Cultural Studies BA) Specialization,Trent University
Economics and Business,Trent University
Economics (BA),Trent University
Economics (BSc),Trent University
English and Business,Trent University
English Literature,Trent University
Environmental and Resource Science (BSc),Trent University
Environmental and Resource Studies (BA),Trent University
Environmental Chemistry,Trent University
Environmental Geoscience,Trent University
Environmental Resource Science and Business,Trent University
Environmental Resource Studies and Business,Trent University
Environmental Science/Studies (Honours),Trent University
Film & Media (Cultural Studies BA) Specialization,Trent University
Forensic Biology,Trent University
Forensic Chemistry,Trent University
Forensics and Arts,Trent University
Forensics and Business,Trent University
Forensics and Science,Trent University
Forensics & Arts – Law & Policing Specialization,Trent University
Forensic Science,Trent University
Forensics & Science – Law & Policing Specialization,Trent University
Foundations of Indigenous Learning,Trent University
French and Business,Trent University
French Studies,Trent University
Gender and Women's Studies,Trent University
Gender and Women's Studies and Business,Trent University
Geography and Business,Trent University
Geography (BA),Trent University
Geography (BSc),Trent University
Greek & Latin (Ancient Greek & Roman Studies B.A.) Specialization,Trent University
Health Sciences (Biology BSc) Specialization,Trent University
Health Studies (Sociology BA) Specialization,Trent University
History,Trent University
History – Legal Studies Option,Trent University
History and Business,Trent University
Honours Arts,Trent University
"Honours Arts, Archaeology – Mediterranean Archaeology",Trent University
Honours Science,Trent University
Indigenous Bachelor of Education (BEd),Trent University
Indigenous Environmental Science (BSc),Trent University
Indigenous Environmental Studies (BA),Trent University
Indigenous Environmental Studies (Dipl.),Trent University
Indigenous Studies,Trent University
Indigenous Studies and Business,Trent University
Information Systems and Business,Trent University
Information Systems (BA),Trent University
Information Systems (BSc),Trent University
International Development – Legal Studies Option,Trent University
International Development and Business,Trent University
International Development Studies,Trent University
International Political Economy,Trent University
Journalism – (Joint Trent-Loyalist Program),Trent University
Journalism and Business (Joint Trent-Loyalist Program),Trent University
Journalism (Joint Trent-Loyalist program),Trent University
Kinesiology (Joint UOIT program) (Honours),Trent University
Latin American Studies (International Development Studies BA) Specialization,Trent University
Law (LL.B.) Business Administration (B.B.A.): Trent/Swansea Dual Degree,Trent University
Law (LL.B.) Canadian Studies (B.A.): Trent/Swansea Dual degree,Trent University
Law (LL.B.) Cultural Studies (B.A.): Trent/Swansea Dual Degree,Trent University
Law (LL.B.) Economics (B.A.): Trent/Swansea Dual Degree,Trent University
Law (LL.B.) English Literature (B.A.): Trent/Swansea Dual degree,Trent University
Law (LL.B.) Environmental & Resource Studies (B.A.): Trent/Swansea Dual Degree,Trent University
Law (LL.B.) Gender and Women’s Studies (B.A.): Trent/Swansea Dual degree,Trent University
Law (LL.B.) History (B.A.): Trent/Swansea Dual degree,Trent University
Law (LL.B.) Indigenous Studies (BA): Trent/Swansea Dual Degree,Trent University
Law (LL.B.) International Development Studies (B.A.): Trent/Swansea Dual degree,Trent University
Law (LL.B.) Media Studies (B.A.): Trent/Swansea Dual Degree,Trent University
Law (LL.B.) Philosophy (B.A.): Trent/Swansea Dual degree,Trent University
Law (LL.B.) Political Studies (B.A.): Trent/Swansea Dual degree,Trent University
Law (LL.B.) Sociology (B.A.): Trent/Swansea Dual degree,Trent University
Literature & Narrative (Cultural Studies BA) Specialization,Trent University
Mathematical Economics,Trent University
Mathematical Physics,Trent University
Mathematics,Trent University
Mathematics – Mathematical Finance,Trent University
Mathematics and Business,Trent University
Media Studies,Trent University
Media Studies and Business,Trent University
Media Studies & Sociology,Trent University
Medical Professional Stream,Trent University
Medical Professional Stream – Indigenous,Trent University
Nursing,Trent University
Philosophy,Trent University
Philosophy – Legal Studies Option,Trent University
Philosophy and Business,Trent University
Philosophy and Economics,Trent University
Physics,Trent University
Political Studies,Trent University
Political Studies – Legal Studies Option,Trent University
Political Studies and Business,Trent University
Political Studies and Forensics,Trent University
Political Studies – Public Policy,Trent University
Psychological Development (Psychology B.A.) Specialization,Trent University
Psychological Development (Psychology B.Sc.) Specialization,Trent University
Psychology – Legal Studies Option,Trent University
Psychology and Business,Trent University
Psychology and Economics,Trent University
Psychology and Forensics (Arts),Trent University
Psychology and Forensics (Science),Trent University
Psychology (BA),Trent University
Psychology (BSc),Trent University
Psychology (Science) and Business,Trent University
Quebec & Franco-Canadian Studies (French & Francophone Studies BA),Trent University
Social Work (Honours),Trent University
Sociology,Trent University
Sociology and Business,Trent University
Statistics (Mathematics B.Sc.) Specialization,Trent University
Sustainable Agriculture and Food Systems (BA),Trent University
Sustainable Agriculture and Food Systems (BSc),Trent University
Teacher Education Stream – Arts (Honours),Trent University
Teacher Education Stream – Science (Honours),Trent University
Trent ESL: English for University,Trent University
Water Sciences,Trent University
Anthropology – Legal Studies Option,Trent University Durham GTA
Anthropology (BA),Trent University Durham GTA
Anthropology (BSc),Trent University Durham GTA
Anthropology & Business Administration,Trent University Durham GTA
Anthropology & English Literature,Trent University Durham GTA
Anthropology & History,Trent University Durham GTA
Anthropology & Media Studies,Trent University Durham GTA
Anthropology & Psychology,Trent University Durham GTA
Anthropology & Sociology,Trent University Durham GTA
Arts and Business,Trent University Durham GTA
Bachelor of Arts & Science,Trent University Durham GTA
Bachelor of Business Administration,Trent University Durham GTA
Bachelor of Business Administration – Accounting,Trent University Durham GTA
Bachelor of Business Administration – Communications & Critical Thinking Option,Trent University Durham GTA
Bachelor of Business Administration – Human Resources Management,Trent University Durham GTA
Bachelor of Business Administration – Information Systems & E-Commerce,Trent University Durham GTA
Bachelor of Business Administration – Legal Studies Option,Trent University Durham GTA
Bachelor of Business Administration – Marketing & Consumer Culture,Trent University Durham GTA
Business Administration (BBA) – Entrepreneurship,Trent University Durham GTA
Business and Computing & Information Systems,Trent University Durham GTA
Child and Youth Studies,Trent University Durham GTA
Child and Youth Studies & Psychology,Trent University Durham GTA
Child & Youth Studies – Legal Studies Option,Trent University Durham GTA
Child & Youth Studies & Sociology,Trent University Durham GTA
Communications and Critical Thinking,Trent University Durham GTA
Computing Systems (BA),Trent University Durham GTA
Computing Systems (BSc),Trent University Durham GTA
English Literature,Trent University Durham GTA
English Literature – Legal Studies Option,Trent University Durham GTA
English Literature and Business,Trent University Durham GTA
English Literature & History,Trent University Durham GTA
English Literature & Media Studies,Trent University Durham GTA
English Literature & Psychology,Trent University Durham GTA
English Literature & Sociology,Trent University Durham GTA
Gender & Women's Studies,Trent University Durham GTA
History,Trent University Durham GTA
History and Business,Trent University Durham GTA
History & Media Studies,Trent University Durham GTA
History & Psychology,Trent University Durham GTA
History & Sociology,Trent University Durham GTA
Honours Arts,Trent University Durham GTA
Honours Science,Trent University Durham GTA
Information Systems & Business,Trent University Durham GTA
Information Systems & Media Studies,Trent University Durham GTA
Law (LL.B.) Business Administration (B.B.A.): Trent/Swansea Dual Degree,Trent University Durham GTA
Law (LL.B.) English Literature (B.A.): Trent/Swansea Dual degree,Trent University Durham GTA
Law (LL.B.) English Literature (B.A.): Trent/Swansea Dual degree,Trent University Durham GTA
Law (LL.B.) English Literature (B.A.): Trent/Swansea Dual Degree,Trent University Durham GTA
Law (LL.B.) History (B.A.): Trent/Swansea Dual degree,Trent University Durham GTA
Law (LL.B.) Media Studies (B.A.): Trent/Swansea Dual Degree,Trent University Durham GTA
Law (LL.B.) Philosophy (B.A.): Trent/Swansea Dual Degree,Trent University Durham GTA
Law (LL.B.) Sociology (B.A.): Trent/Swansea Dual Degree,Trent University Durham GTA
Media Studies,Trent University Durham GTA
Media Studies – Legal Studies Option,Trent University Durham GTA
Media Studies and Business,Trent University Durham GTA
Media Studies & Psychology,Trent University Durham GTA
Philosophy (Durham) General Degree,Trent University Durham GTA
Policing & Community Well-Being,Trent University Durham GTA
Psychological Development (Psychology B.A.) Specialization,Trent University Durham GTA
Psychological Development (Psychology B.Sc.) Specialization,Trent University Durham GTA
Psychology – Legal Studies Option,Trent University Durham GTA
Psychology and Business,Trent University Durham GTA
Psychology (BA),Trent University Durham GTA
Psychology (BSc),Trent University Durham GTA
Psychology (Science) and Business,Trent University Durham GTA
Psychology & Sociology,Trent University Durham GTA
Science and Business,Trent University Durham GTA
Social Work (Honours),Trent University Durham GTA
Sociology,Trent University Durham GTA
Sociology – Legal Studies Option,Trent University Durham GTA
Sociology and Business,Trent University Durham GTA
Teacher Education Stream – Arts (Honours),Trent University Durham GTA
Teacher Education Stream – Science (Honours),Trent University Durham GTA
Accounting and Financial Management,University of Waterloo
Architectural Engineering,University of Waterloo
Architecture,University of Waterloo
Biomedical Engineering,University of Waterloo
Biotechnology/CPA,University of Waterloo
Biotechnology/Economics,University of Waterloo
Business Administration (Laurier) and Computer Science (Waterloo) Double Degree,University of Waterloo
Business Administration (Laurier) and Mathematics (Waterloo) Double Degree,University of Waterloo
Chemical Engineering,University of Waterloo
Civil Engineering,University of Waterloo
Computer Engineering,University of Waterloo
Computer Science (regular/co-op),University of Waterloo
Computing and Financial Management,University of Waterloo
Electrical Engineering,University of Waterloo
Environmental Engineering,University of Waterloo
Environmental Science (regular/co-op),University of Waterloo
Environment and Business,University of Waterloo
"Environment, Resources and Sustainability (regular/co-op)",University of Waterloo
Geography and Aviation,University of Waterloo
Geography and Environmental Management (regular/co-op),University of Waterloo
Geological Engineering,University of Waterloo
Geomatics (regular/co-op),University of Waterloo
Global Business and Digital Arts,University of Waterloo
Health Studies (regular/co-op),University of Waterloo
Honours Arts,University of Waterloo
Honours Arts & Business (regular/co-op),University of Waterloo
Honours Science,University of Waterloo
International Development,University of Waterloo
Kinesiology (regular/co-op),University of Waterloo
Knowledge Integration,University of Waterloo
Life Sciences (regular/co-op),University of Waterloo
Management Engineering,University of Waterloo
Mathematics/Business Administration (regular/co-op),University of Waterloo
Mathematics/CPA,University of Waterloo
Mathematics/Financial Analysis and Risk Management (online),University of Waterloo
Mathematics/Financial Analysis and Risk Management (regular/co-op),University of Waterloo
Mathematics (regular/co-op),University of Waterloo
Mechanical Engineering,University of Waterloo
Mechatronics Engineering,University of Waterloo
Nanotechnology Engineering,University of Waterloo
Physical Sciences (regular/co-op),University of Waterloo
Planning,University of Waterloo
Public Health (regular/co-op),University of Waterloo
Recreation & Leisure Studies (regular/co-op),University of Waterloo
Science and Aviation,University of Waterloo
Science and Business (regular/co-op),University of Waterloo
Software Engineering,University of Waterloo
Systems Design Engineering,University of Waterloo
Honours Arts (Renison University College),University of Waterloo – Renison University College
Social Development Studies (Renison University College),University of Waterloo – Renison University College
St. Jerome's: Honours Arts (regular),University of Waterloo – St. Jerome's University
Arts and Humanities,Western University
Engineering,Western University
Fine Arts – Studio,Western University
Foods and Nutrition,Western University
Health Science,Western University
Kinesiology,Western University
Management and Organizational Studies,Western University
Management and Organizational Studies (Commercial Aviation Management) – Flight and Non-Flight (Main campus only),Western University
"Media, Information and Technoculture",Western University
Medical Sciences,Western University
Music Administrative Studies,Western University
Music (BA),Western University
Music (BMus),Western University
Music Performance Diploma (3 years),Western University
Nursing (Western-Fanshawe Collaborative Program) – Fanshawe College Site,Western University
Nursing (Western-Fanshawe Collaborative Program) – Western Site,Western University
Science,Western University
Social Science,Western University
Arts,Western University – Brescia University College
BA Family Studies (Human Ecology),Western University – Brescia University College
BSc Family Studies (Human Ecology),Western University – Brescia University College
BSc Foods and Nutrition,Western University – Brescia University College
Health Sciences,Western University – Brescia University College
Kinesiology,Western University – Brescia University College
Management and Organizational Studies,Western University – Brescia University College
Preliminary Year Co-educational,Western University – Brescia University College
Social Science,Western University – Brescia University College
Arts,Western University – Huron University College
Management and Organizational Studies,Western University – Huron University College
Social Science,Western University – Huron University College
Arts,Western University – King's University College
Childhood and Social Institutions,Western University – King's University College
Finance and Wealth Management,Western University – King's University College
Management and Organizational Studies,Western University – King's University College
Social Justice and Peace Studies,Western University – King's University College
Social Sciences,Western University – King's University College
Business Technology Management (BBTM),Wilfrid Laurier University – Brantford Campus
Community Health (BA),Wilfrid Laurier University – Brantford Campus
Criminology (BA),Wilfrid Laurier University – Brantford Campus
Digital Media & Journalism (BA),Wilfrid Laurier University – Brantford Campus
English (BA),Wilfrid Laurier University – Brantford Campus
Game Design & Development (BFAA),Wilfrid Laurier University – Brantford Campus
Health Administration (BA),Wilfrid Laurier University – Brantford Campus
History (BA),Wilfrid Laurier University – Brantford Campus
Humanities with Leadership Foundations (BA),Wilfrid Laurier University – Brantford Campus
Human Rights & Human Diversity (BA),Wilfrid Laurier University – Brantford Campus
Indigenous Studies (BA in combination),Wilfrid Laurier University – Brantford Campus
"Law Degree (LLB at University of Sussex, UK) and Arts Degree (BA Criminology at Laurier)",Wilfrid Laurier University – Brantford Campus
"Law Degree (LLB at University of Sussex, UK) and Arts Degree (BA Human Rights & Human Diversity or Law & Society at Laurier)",Wilfrid Laurier University – Brantford Campus
Law & Society (BA),Wilfrid Laurier University – Brantford Campus
Policing (BA) (in combination),Wilfrid Laurier University – Brantford Campus
Psychology (BA),Wilfrid Laurier University – Brantford Campus
Public Health (BASc),Wilfrid Laurier University – Brantford Campus
Social & Environmental Justice (BA),Wilfrid Laurier University – Brantford Campus
Social Work (BSW),Wilfrid Laurier University – Brantford Campus
User Experience Design (BDes),Wilfrid Laurier University – Brantford Campus
Youth & Children's Studies (BA),Wilfrid Laurier University – Brantford Campus
Computer Science (BSc),Wilfrid Laurier University – Milton Campus
Environmental Science (BSc),Wilfrid Laurier University – Milton Campus
Applied Water Science (BSc),Wilfrid Laurier University – Waterloo Campus
"Arts, Honours (BA)",Wilfrid Laurier University – Waterloo Campus
Bachelor of Arts & Master of Arts (BA & Masters),Wilfrid Laurier University – Waterloo Campus
Biochemistry/Biotechnology (BSc),Wilfrid Laurier University – Waterloo Campus
Biology and Mathematics (BSc),Wilfrid Laurier University – Waterloo Campus
Biology (BA),Wilfrid Laurier University – Waterloo Campus
Biology (BSc),Wilfrid Laurier University – Waterloo Campus
Business Administration (BBA),Wilfrid Laurier University – Waterloo Campus
Business Administration (BBA) and Computer Science (BSc) (double degree co-op program),Wilfrid Laurier University – Waterloo Campus
Business Administration (BBA) and Financial Mathematics (BA) (double degree co-op program),Wilfrid Laurier University – Waterloo Campus
"Business Administration (BBA, Laurier) and Computer Science (BCS, UW) Double Degree (Co-op only)",Wilfrid Laurier University – Waterloo Campus
"Business Administration (BBA, Laurier) and Mathematics (BMath, UW) (Double Degree Co-op program)",Wilfrid Laurier University – Waterloo Campus
Chemistry and Mathematics (BSc),Wilfrid Laurier University – Waterloo Campus
Chemistry (BSc),Wilfrid Laurier University – Waterloo Campus
Chemistry & Physics (BSc),Wilfrid Laurier University – Waterloo Campus
Christian Studies & Global Citizenship (BA),Wilfrid Laurier University – Waterloo Campus
Communication Studies (BA),Wilfrid Laurier University – Waterloo Campus
Community Music (BMus),Wilfrid Laurier University – Waterloo Campus
Computer Science and Physics (BSc),Wilfrid Laurier University – Waterloo Campus
Computer Science and Psychology (BSc),Wilfrid Laurier University – Waterloo Campus
Computer Science (BA) (in combination),Wilfrid Laurier University – Waterloo Campus
Computer Science (BSc),Wilfrid Laurier University – Waterloo Campus
Data Science (BSc),Wilfrid Laurier University – Waterloo Campus
Economics (BA),Wilfrid Laurier University – Waterloo Campus
Environmental Science (BSc),Wilfrid Laurier University – Waterloo Campus
Financial Mathematics (BA),Wilfrid Laurier University – Waterloo Campus
Financial Mathematics (BSc),Wilfrid Laurier University – Waterloo Campus
Geography; Geography & Geomatics (BSc),Wilfrid Laurier University – Waterloo Campus
Health Sciences (BSc),Wilfrid Laurier University – Waterloo Campus
Honours Science (BSc),Wilfrid Laurier University – Waterloo Campus
International Education Studies (BA),Wilfrid Laurier University – Waterloo Campus
Kinesiology (BKin),Wilfrid Laurier University – Waterloo Campus
"Law Degree (LLB at University of Sussex, UK) and Arts Degree (BA at Laurier)",Wilfrid Laurier University – Waterloo Campus
Mathematics (BA),Wilfrid Laurier University – Waterloo Campus
Mathematics; Computer Science and Mathematics (BSc),Wilfrid Laurier University – Waterloo Campus
Music (BMus),Wilfrid Laurier University – Waterloo Campus
Physics (BSc),Wilfrid Laurier University – Waterloo Campus
Policing (BA) (in combination),Wilfrid Laurier University – Waterloo Campus
Psychology (BA),Wilfrid Laurier University – Waterloo Campus
Psychology (BSc),Wilfrid Laurier University – Waterloo Campus
Acting,University of Windsor
Aeronautics Leadership – Flight,University of Windsor
"Behaviour, Cognition and Neuroscience",University of Windsor
Biochemistry,University of Windsor
Biological Sciences,University of Windsor
Business Administration,University of Windsor
Chemistry,University of Windsor
Civil Engineering,University of Windsor
"Communication, Media and Film",University of Windsor
"Communication, Media and Film (General)/Bachelor of Education",University of Windsor
Computer Science,University of Windsor
Concurrent General BA (Drama)/BEd,University of Windsor
Concurrent General BA (English Language and Literature)/BEd,University of Windsor
Concurrent General BA (French Studies)/BEd,University of Windsor
Concurrent General BA (History)/BEd,University of Windsor
Concurrent General BA (Psychology)/BEd/Diploma in ECE,University of Windsor
Concurrent General BA (Visual Art)/BEd,University of Windsor
Concurrent General BMath/BEd,University of Windsor
Concurrent General BSc (General Science)/BEd,University of Windsor
Concurrent Honours BMus (Music Education)/BEd,University of Windsor
Criminology,University of Windsor
Digital Journalism,University of Windsor
Disability Studies,University of Windsor
Drama,University of Windsor
Economics,University of Windsor
Electrical Engineering,University of Windsor
English,University of Windsor
Environmental Engineering,University of Windsor
Environmental Science/Environmental Studies,University of Windsor
Family and Social Relations,University of Windsor
Forensic Science/Forensics,University of Windsor
French,University of Windsor
General Engineering,University of Windsor
General Science,University of Windsor
Greek and Roman Studies,University of Windsor
History,University of Windsor
Human Kinetics,University of Windsor
Industrial Engineering,University of Windsor
Interdisciplinary Arts and Science,University of Windsor
International Relations & Development Studies,University of Windsor
Liberal Arts and Professional Studies,University of Windsor
Mathematics,University of Windsor
Mechanical Engineering,University of Windsor
Modern Languages,University of Windsor
Music,University of Windsor
Nursing,University of Windsor
Philosophy,University of Windsor
Physics,University of Windsor
Political Science,University of Windsor
Psychology,University of Windsor
Social Work,University of Windsor
Sociology,University of Windsor
Visual Arts,University of Windsor
Women's and Gender Studies,University of Windsor
Actuarial Science (BA),York University
"Anthropology (BA, iBA)",York University
Applied Mathematics (BA),York University
Applied Mathematics (BSc),York University
Art History (BA),York University
Biochemistry (BSc),York University
"Biology (BSc, iBSc)",York University
Biomedical Science (BSc),York University
Biophysics (BSc),York University
Biotechnology (BSc),York University
Business Administration (BBA),York University
Business Economics (BA),York University
Business & Society (BA),York University
Chemistry (BSc),York University
"Children, Childhood & Youth (BA)",York University
Cinema & Media Studies (BA),York University
Classics & Classical Studies (BA),York University
Cognitive Science (BA),York University
Commerce,York University
"Communication Studies (BA, iBA)",York University
Computational Mathematics (BSc),York University
Computer Science (BA),York University
Computer Science (BSc),York University
Computer Science (iBA),York University
Computer Science (iBSc),York University
Computer Security (BA),York University
Computer Security (BSc),York University
"Concurrent Education: Arts, Media, Performance & Design (BEd)",York University
Concurrent Education: Educational Studies,York University
Concurrent Education: Environmental Studies (BEd),York University
Concurrent Education: Health (BEd),York University
Concurrent Education: Lassonde (BEd),York University
Concurrent Education: Liberal Arts & Professional Studies (BEd),York University
Concurrent Education: Science (BEd),York University
Criminology (BA),York University
Culture & Expression (BA),York University
"Cultures & Regions (BA, iBA)",York University
Dance (BFA),York University
Design (BDes),York University
Digital Media (BA) – Lassonde School of Engineering,York University
"Digital Media (BA) – School of the Arts, Media, Performance & Design",York University
Disaster & Emergency Management (BDEM),York University
Earth & Atmospheric Science (BSc),York University
Economics (BA),York University
Ecosystem Management (Joint BES/Advanced Diploma Program with Fleming College),York University
Educational Studies,York University
Engineering (BEng),York University
English (BA),York University
English & Professional Writing (BA),York University
Environmental Biology (BSc),York University
Environmental Management & Technology (BES/Advanced Diploma with Seneca College),York University
Environmental Science (BSc),York University
Environmental Studies (BES),York University
Film Production (BFA),York University
Financial & Business Economics (BA),York University
Gender & Women's Studies (BA),York University
"Geography (BA, iBA)",York University
Geography (BSc),York University
